yaw_value,acc
-43.163265,0.85
10.102041,0.82
-30.306122,0.91
35.816326,0.84
-0.9183673,0.89
32.142857,0.86
6.428571,0.9
-10.102041,0.9
22.959183,0.84
21.12245,0.88
-32.142857,0.87
13.77551,0.89
2.7551022,0.83
37.65306,0.9
-4.591837,0.85
24.795918,0.95
8.265306,0.89
0.9183673,0.9
-45,0.88
15.612245,0.89
17.44898,0.9
4.591837,0.8
-21.12245,0.83
33.97959,0.9
-11.938775,0.82
-26.632652,0.84
-28.469387,0.79
-41.32653,0.84
41.32653,0.81
-8.265306,0.84
-33.97959,0.91
-6.428571,0.82
-2.7551022,0.8
11.938775,0.87
-37.65306,0.86
28.469387,0.88
26.632652,0.87
-39.489796,0.88
39.489796,0.84
-22.959183,0.89
43.163265,0.91
-35.816326,0.86
19.285715,0.88
-17.44898,0.88
30.306122,0.8
-19.285715,0.86
-24.795918,0.8
-13.77551,0.83
-15.612245,0.86
45,0.85
