yaw_value,rec_scalar
-43.163265,118.62529
10.102041,-104.72602
-30.306122,141.6431
35.816326,-143.36502
-0.9183673,93.71481
32.142857,-137.7719
6.428571,-33.412323
-10.102041,246.13611
22.959183,-99.80863
21.12245,-109.76309
-32.142857,97.546036
13.77551,-145.63574
2.7551022,60.046974
37.65306,-169.54639
-4.591837,23.12824
24.795918,-194.18475
8.265306,-78.286644
0.9183673,-76.66005
-45,53.18772
15.612245,-35.482548
17.44898,-146.76631
4.591837,-5.0001745
-21.12245,191.04553
33.97959,-146.41089
-11.938775,107.66519
-26.632652,151.88593
-28.469387,116.5931
-41.32653,126.761116
41.32653,-149.96307
-8.265306,67.95769
-33.97959,95.7614
-6.428571,50.447357
-2.7551022,94.702034
11.938775,-102.5753
-37.65306,189.67436
28.469387,-101.79511
26.632652,-108.91574
-39.489796,104.679855
39.489796,-78.91206
-22.959183,268.7276
43.163265,-34.08041
-35.816326,137.1525
19.285715,-118.78099
-17.44898,143.29512
30.306122,-52.649364
-19.285715,162.31805
-24.795918,209.69101
-13.77551,92.06811
-15.612245,112.98782
45,-116.15102
